Team,Q1_Games,Q1_NetEff,Q2_Games,Q2_NetEff,Q3_Games,Q3_NetEff,Q4_Games,Q4_NetEff,AdjNetEff
Tougaloo Bulldogs,0,0.0,0,0.0,2,-23.38,0,0.0,-23.38
Penn State Nittany Lions,1,0.14,1,-18.34,1,-38.38,2,38.27,3.99
Northeastern Huskies,1,36.14,1,14.66,5,12.83,4,0.03,10.46
St. Bonaventure Bonnies,2,11.84,2,5.03,2,-4.5,1,-13.89,1.55
Ohio Bobcats,3,-6.97,0,0.0,2,-6.03,2,-0.78,-4.93
Montana Grizzlies,2,-7.73,2,-2.81,1,27.95,1,25.3,5.36
Regent Royals,0,0.0,1,-34.01,0,0.0,1,-45.5,-39.76
Central State (OH) Marauders,1,-2.33,0,0.0,1,-26.79,0,0.0,-14.56
App State Mountaineers,2,0.81,0,0.0,3,15.34,5,-0.95,4.29
Gallaudet Bison,0,0.0,0,0.0,0,0.0,1,-39.69,-39.69
Army Black Knights,2,-3.25,0,0.0,1,-13.77,4,5.69,0.36
Northwestern State Demons,2,-22.48,2,0.18,2,6.16,3,3.76,-2.33
Texas Lutheran Bulldogs,0,0.0,1,-34.83,0,0.0,1,-52.43,-43.63
Bellarmine Knights,3,0.15,2,7.27,1,20.86,2,33.02,12.74
Crown College Polars,0,0.0,0,0.0,0,0.0,1,-57.04,-57.04
Clemson Tigers,3,6.01,0,0.0,4,5.45,1,3.95,5.47
Manhattan Jaspers,1,-6.2,2,-11.39,1,-29.35,6,4.68,-3.03
Illinois Fighting Illini,4,26.04,2,-9.72,0,0.0,0,0.0,14.12
Oakland Golden Grizzlies,3,3.63,3,-9.71,4,11.12,2,23.33,6.07
Averett Cougars,1,-58.25,0,0.0,1,-52.93,0,0.0,-55.59
Longwood Lancers,1,-1.41,1,-2.33,4,-15.94,4,5.09,-4.71
Arkansas Baptist Buffaloes,0,0.0,0,0.0,0,0.0,3,-27.1,-27.1
Little Rock Trojans,1,-7.24,1,-15.62,3,-3.5,6,-12.54,-9.87
Columbia College (SC) Fighting Koalas,0,0.0,1,-34.91,0,0.0,1,-3.41,-19.16
Loyola Chicago Ramblers,0,0.0,2,12.8,1,26.97,4,-17.92,-2.73
Purdue Fort Wayne Mastodons,2,-16.28,1,23.27,5,-3.65,1,-12.19,-4.41
USC Trojans,1,-26.23,2,-0.83,2,33.76,3,23.51,13.77
Nobel Knights,0,0.0,1,-45.68,2,-43.32,4,-27.06,-34.36
Cal State Northridge Matadors,0,0.0,5,-16.22,2,-17.3,2,29.38,-6.32
Prairie View A&M Panthers,4,-2.7,1,-34.0,2,15.4,4,-5.31,-3.2
Valparaiso Beacons,2,-14.69,0,0.0,3,-5.23,1,-13.18,-9.71
Holy Cross Crusaders,1,-37.16,1,-1.61,2,7.59,5,-10.59,-8.51
Cincinnati Bearcats,2,-17.36,2,-8.61,0,0.0,1,1.47,-10.1
UAB Blazers,1,-12.59,2,9.08,1,-17.84,2,13.42,2.43
Elmira Soaring Eagles,0,0.0,0,0.0,0,0.0,1,-17.36,-17.36
Old Dominion Monarchs,5,-4.32,1,-16.3,0,0.0,4,-6.33,-6.32
Auburn-Montgomery Senators,0,0.0,0,0.0,1,-54.24,0,0.0,-54.24
Mississippi Valley State Delta Devils,3,-11.54,3,-34.64,2,-50.43,4,-7.4,-22.42
Boston University Terriers,1,-28.42,3,12.72,3,-1.6,3,23.16,7.44
UT Permian Basin Falcons,0,0.0,0,0.0,0,0.0,1,-21.44,-21.44
UTEP Miners,1,-29.21,2,-11.31,4,-11.46,1,-15.12,-14.1
Grand Canyon Lopes,2,-32.84,2,21.14,1,-2.19,1,8.6,-2.83
Bowie State Bulldogs,0,0.0,0,0.0,0,0.0,1,-21.94,-21.94
Howard Bison,2,-20.09,1,-8.16,0,0.0,7,-3.27,-7.12
Stephen F. Austin Lumberjacks,1,-6.67,0,0.0,0,0.0,7,3.94,2.61
Niagara Purple Eagles,3,-28.25,0,0.0,1,-1.7,5,-12.49,-16.54
Alabama Crimson Tide,4,7.2,1,23.71,2,32.12,1,43.39,20.02
Saint Francis Red Flash,3,-18.29,2,-24.48,2,-25.66,3,-8.79,-18.15
Virginia Tech Hokies,2,10.15,3,2.75,1,6.66,0,0.0,5.87
St. John Fisher Cardinals,0,0.0,0,0.0,1,-43.69,0,0.0,-43.69
Western Illinois Leathernecks,1,-16.41,1,-10.83,3,-13.39,4,-11.84,-12.75
Sacramento State Hornets,2,-18.17,4,-5.8,1,-36.08,2,-5.3,-11.8
UCLA Bruins,3,-2.22,1,0.01,2,18.58,0,0.0,5.09
Tennessee State Tigers,2,-26.36,0,0.0,4,-3.41,5,8.03,-2.38
Virginia Cavaliers,2,33.96,3,-4.25,1,38.05,0,0.0,15.54
Austin Peay Governors,2,12.72,2,-16.35,3,-10.58,1,8.14,-3.86
Weber State Wildcats,3,-0.88,0,0.0,2,-8.0,2,2.26,-2.01
Penn State Hazleton Nittany Lions,0,0.0,0,0.0,0,0.0,1,-8.01,-8.01
Lehigh Mountain Hawks,0,0.0,2,-29.88,1,6.65,6,-7.19,-10.69
Northwest Indian RedHawks,0,0.0,1,-46.91,2,-31.44,0,0.0,-36.6
Cumberland (KY) Patriots,0,0.0,1,-17.3,0,0.0,0,0.0,-17.3
Michigan Wolverines,2,39.41,2,-3.7,2,14.01,1,49.37,21.26
Columbia Lions,2,7.86,1,-21.01,1,54.3,4,13.03,12.64
Louisville Cardinals,3,1.48,2,14.07,0,0.0,1,-5.65,4.49
Wake Forest Demon Deacons,2,-22.15,1,16.09,1,22.69,1,-7.07,-2.52
Paine Lions,0,0.0,1,-75.12,0,0.0,0,0.0,-75.12
Cameron Aggies,0,0.0,0,0.0,1,-25.17,0,0.0,-25.17
Texas Longhorns,4,5.17,0,0.0,1,20.43,1,43.74,14.14
UNC Wilmington Seahawks,1,-3.03,0,0.0,3,17.6,2,13.58,12.82
Dartmouth Big Green,1,-17.73,2,4.9,0,0.0,5,16.2,9.13
Morgan State Bears,0,0.0,2,-19.81,3,-33.77,3,-21.12,-25.53
Hampton Pirates,1,-30.7,1,-34.61,2,-2.62,8,-2.03,-7.23
Lane College Dragons,0,0.0,0,0.0,0,0.0,1,19.47,19.47
La Sierra Golden Eagles,0,0.0,0,0.0,1,-54.45,2,-44.94,-48.11
Robert Morris Colonials,1,7.54,3,7.34,2,-16.14,3,16.32,5.14
Northwest University Eagles,0,0.0,1,-35.32,0,0.0,0,0.0,-35.32
Northern Iowa Panthers,2,-9.76,0,0.0,1,-9.48,3,4.14,-2.76
Penn State-Shenango Nittany Lions,2,-47.54,0,0.0,0,0.0,1,-53.36,-49.48
Champion Christian Tigers,1,-32.87,0,0.0,3,-46.39,2,-28.84,-38.29
Saint Mary's Gaels,1,-6.7,2,-0.87,2,24.49,2,2.68,6.55
Lincoln University (CA) Oaklanders,0,0.0,1,-24.26,2,-42.7,2,-11.09,-26.37
Warren Wilson Owls,0,0.0,0,0.0,1,-25.7,0,0.0,-25.7
Stony Brook Seawolves,2,16.34,1,-27.31,2,-10.18,4,-22.99,-11.88
Bryan (TN) Lions,0,0.0,0,0.0,4,-44.27,0,0.0,-44.27
TCU Horned Frogs,0,0.0,0,0.0,3,11.86,1,-8.49,6.77
Florida A&M Rattlers,2,-31.11,2,-17.53,1,-41.44,4,0.12,-15.36
Hawai'i Hilo Vulcans,0,0.0,1,-45.55,0,0.0,0,0.0,-45.55
Geneva Golden Tornadoes,0,0.0,0,0.0,1,-45.98,0,0.0,-45.98
Tulsa Golden Hurricane,0,0.0,1,8.82,1,22.17,6,19.06,18.17
Air Force Falcons,1,-6.72,1,-11.86,3,-24.43,0,0.0,-18.38
Saint Louis Billikens,1,-10.03,0,0.0,3,3.68,0,0.0,0.25
Saint Mary of the Woods College Pomeroys,0,0.0,0,0.0,1,-34.04,0,0.0,-34.04
Fisher College Eagles,0,0.0,0,0.0,1,-16.42,0,0.0,-16.42
Incarnate Word Cardinals,3,0.02,1,-2.91,2,-6.83,2,26.05,4.45
Radford Highlanders,3,-18.44,2,-13.12,1,2.47,1,-8.9,-12.57
Loyola Marymount Lions,1,-40.97,1,9.94,3,-3.59,1,8.43,-5.56
Manhattan Christian Thunder,1,-25.94,0,0.0,0,0.0,0,0.0,-25.94
Oklahoma Christian OKLAHOMA CHRISTIAN,1,-22.76,0,0.0,0,0.0,0,0.0,-22.76
Dallas Christian Crusaders,0,0.0,0,0.0,0,0.0,3,-56.0,-56.0
Shenandoah Hornets,0,0.0,0,0.0,1,-46.79,0,0.0,-46.79
Le Moyne Dolphins,2,-35.16,0,0.0,2,11.79,8,11.69,3.9
Centenary (NJ) Cyclones,0,0.0,0,0.0,0,0.0,1,-49.7,-49.7
Saint Peter's Peacocks,1,-27.07,0,0.0,3,-16.33,1,-1.1,-15.43
Pennsylvania Quakers,2,5.09,1,-4.26,1,-0.05,3,10.32,5.26
West Virginia Wesleyan Bobcats,0,0.0,0,0.0,1,-30.4,0,0.0,-30.4
Massachusetts-Boston Beacons,0,0.0,0,0.0,1,-60.05,0,0.0,-60.05
Concord Mountain Lions,1,-32.12,0,0.0,0,0.0,0,0.0,-32.12
Occidental Tigers,0,0.0,0,0.0,0,0.0,1,-30.62,-30.62
Southwestern Adventist Knights,0,0.0,0,0.0,1,-34.26,2,-49.15,-44.19
Central Penn Knights,0,0.0,0,0.0,1,-58.8,2,-17.28,-31.12
Northern State Wolves,0,0.0,1,-5.28,0,0.0,0,0.0,-5.28
Franklin Pierce Ravens,0,0.0,0,0.0,0,0.0,1,-12.09,-12.09
West Georgia Wolves,2,-14.85,1,-38.7,1,11.39,3,-5.37,-10.45
Howard Payne Yellow Jackets,0,0.0,0,0.0,1,-56.12,1,-22.18,-39.15
Menlo Oaks,0,0.0,1,-12.77,0,0.0,0,0.0,-12.77
Vermont State - Johnson Badgers,0,0.0,2,-28.13,0,0.0,1,-20.33,-25.53
Rhode Island Rams,3,0.34,3,25.19,0,0.0,1,-18.7,8.27
The Citadel Bulldogs,2,-19.56,1,-0.8,2,-2.35,3,-14.25,-10.92
Catawba Chiefs,1,-13.81,0,0.0,0,0.0,0,0.0,-13.81
Berea Mountaineers,0,0.0,0,0.0,0,0.0,1,-25.7,-25.7
Bryant Bulldogs,2,-42.58,1,-17.26,0,0.0,7,-28.36,-30.09
Carolina University Bruins,1,-34.64,0,0.0,1,-48.71,1,-39.94,-41.1
Fisk Bulldogs,1,-47.64,0,0.0,1,-38.36,2,-43.6,-43.3
Olivet Comets,0,0.0,0,0.0,0,0.0,1,-25.25,-25.25
Simpson University (CA) Red Hawks,0,0.0,0,0.0,1,-40.05,0,0.0,-40.05
Fort Lauderdale Eagles,0,0.0,1,-21.33,1,-44.51,1,-0.61,-22.15
Peru State Bobcats,0,0.0,0,0.0,1,-36.82,0,0.0,-36.82
North Central College Cardinals,0,0.0,0,0.0,1,-42.12,0,0.0,-42.12
Bethesda University Flames,1,-51.2,0,0.0,3,-37.22,2,-39.0,-40.14
West Virginia Mountaineers,2,-2.65,1,2.49,1,-5.14,1,-6.18,-2.83
St. Xavier  (IL) Cougars,0,0.0,0,0.0,1,-21.59,1,-14.29,-17.94
James Madison Dukes,3,-6.08,2,12.11,4,17.32,1,-0.96,7.43
Wichita State Shockers,1,12.22,1,-12.98,3,12.01,2,-5.57,3.45
Missouri Baptist Spartans,0,0.0,0,0.0,0,0.0,1,-23.41,-23.41
Coastal Georgia Mariner,0,0.0,2,-20.88,0,0.0,1,-39.83,-27.19
City College NY Beavers,0,0.0,0,0.0,2,-44.61,0,0.0,-44.61
Midway University Eagles,2,-22.38,0,0.0,1,26.78,1,-32.1,-12.52
Boyce Bulldogs,0,0.0,0,0.0,1,-26.46,0,0.0,-26.46
Ottawa (AZ) Spirit,0,0.0,0,0.0,1,-54.61,0,0.0,-54.61
SUNY-Maritime Privateers,1,-45.91,0,0.0,0,0.0,1,-42.72,-44.32
William Carey Crusaders,0,0.0,0,0.0,1,-30.12,1,-53.98,-42.05
Dakota State Trojans,0,0.0,0,0.0,2,-5.28,1,-11.8,-7.45
Salish Kootenai Bison,0,0.0,0,0.0,1,-45.19,0,0.0,-45.19
Ohio Wesleyan Battling Bishops,0,0.0,1,-34.54,1,-35.54,0,0.0,-35.04
Eastern Oregon Mountaineers,0,0.0,1,-11.98,0,0.0,1,-6.31,-9.15
Merchant Marine Academy Mariners,0,0.0,0,0.0,0,0.0,1,-45.8,-45.8
Pittsburgh - Greensburg Bobcats,0,0.0,0,0.0,1,-27.61,0,0.0,-27.61
Minnesota Crookston Golden Eagles,0,0.0,1,-17.9,0,0.0,0,0.0,-17.9
Thomas (ME) Terriers,0,0.0,0,0.0,0,0.0,1,-45.86,-45.86
Haskell Jayhawks,0,0.0,1,-39.03,0,0.0,1,-27.94,-33.49
Sarah Lawrence Gryphons,0,0.0,1,-48.38,0,0.0,0,0.0,-48.38
Penn State (Brandywine) Lions,0,0.0,0,0.0,0,0.0,2,-40.82,-40.82
Paul Quinn Tigers,0,0.0,0,0.0,1,-23.69,0,0.0,-23.69
Brevard Tornados,0,0.0,0,0.0,0,0.0,1,-15.73,-15.73
Johnson & Wales (RI) Griffins,0,0.0,1,-32.7,0,0.0,1,-52.79,-42.74
Mount Olive Trojans,0,0.0,1,-13.51,0,0.0,0,0.0,-13.51
Hanover Panthers,1,-32.0,0,0.0,0,0.0,0,0.0,-32.0
Adrian Bulldogs,0,0.0,0,0.0,0,0.0,1,-34.88,-34.88
Brewton-Parker Wildcats,0,0.0,0,0.0,0,0.0,2,-37.54,-37.54
Southern Arkansas Muleriders,0,0.0,0,0.0,0,0.0,1,-15.53,-15.53
Oglethorpe Stormy Petrels,0,0.0,0,0.0,1,-50.75,0,0.0,-50.75
St. Mary's (MD) Seahawks,1,-73.31,0,0.0,0,0.0,1,-29.87,-51.59
Webster Gorloks,0,0.0,0,0.0,2,-51.67,0,0.0,-51.67
Manor College Blue Jays,0,0.0,0,0.0,0,0.0,2,-47.86,-47.86
Ecclesia Royals,0,0.0,0,0.0,1,-52.53,4,-30.91,-35.24
Notre Dame (MD) Gators,0,0.0,0,0.0,2,-24.98,1,-33.84,-27.93
Bowling Green Falcons,1,37.67,2,18.14,2,10.02,2,9.65,16.19
Waynesburg Yellow Jackets,0,0.0,0,0.0,1,-46.78,0,0.0,-46.78
George Fox Bruins,0,0.0,0,0.0,1,-38.32,0,0.0,-38.32
SUNY-Oneonta Red Dragons,0,0.0,0,0.0,1,-23.28,1,-14.1,-18.69
Milligan Buffaloes,1,-1.27,0,0.0,1,-45.91,0,0.0,-23.59
Pensacola Christian College PENSACOLA CHRISTIAN,0,0.0,0,0.0,1,-48.72,0,0.0,-48.72
Paul Smith's Bobcats,0,0.0,0,0.0,0,0.0,1,-35.83,-35.83
Capital Crusaders,0,0.0,0,0.0,1,-7.97,0,0.0,-7.97
Dakota Wesleyan Tigers,0,0.0,0,0.0,1,-16.81,0,0.0,-16.81
Chicago State Cougars,5,-22.62,2,-15.57,3,-9.61,2,-1.32,-14.64
Westminster (UT) Griffins,2,-32.84,0,0.0,0,0.0,0,0.0,-32.84
Mount Marty College Lancers,0,0.0,1,3.21,1,-14.96,0,0.0,-5.87
Marquette Golden Eagles,4,-10.8,1,1.7,1,-20.44,0,0.0,-10.32
Union (KY) Bulldogs,0,0.0,1,-34.04,1,-59.89,0,0.0,-46.96
Huston-Tillotson Rams,0,0.0,0,0.0,0,0.0,2,-43.21,-43.21
East-West University Phantoms,0,0.0,0,0.0,0,0.0,3,-38.99,-38.99
Gwynedd-Mercy Griffins,0,0.0,0,0.0,0,0.0,1,-19.36,-19.36
Penn State-Behrend Lions,1,7.58,0,0.0,0,0.0,0,0.0,7.58
Hannibal-Lagrange Trojans,0,0.0,0,0.0,0,0.0,1,-35.28,-35.28
Regis Pride,0,0.0,0,0.0,0,0.0,1,-39.39,-39.39
Washington Huskies,4,-0.37,1,9.88,3,6.07,0,0.0,3.33
Missouri Southern State Lions,0,0.0,0,0.0,1,-12.38,0,0.0,-12.38
Columbia International Rams,0,0.0,1,-22.51,0,0.0,1,-36.18,-29.34
McMurry War Hawks,0,0.0,0,0.0,0,0.0,1,-39.96,-39.96
Franklin Grizzlies,0,0.0,1,-62.52,0,0.0,0,0.0,-62.52
Cumberland (TN) Phoenix,0,0.0,0,0.0,1,-20.16,0,0.0,-20.16
Benedictine University (IL) Eagles,0,0.0,0,0.0,0,0.0,1,-28.87,-28.87
Emerson Lions,0,0.0,0,0.0,1,-5.02,0,0.0,-5.02
Thiel Tomcats,0,0.0,0,0.0,1,-32.56,0,0.0,-32.56
Penn State-York Nittany Lions,0,0.0,0,0.0,1,-32.16,0,0.0,-32.16
Whittier Poets,0,0.0,1,-26.33,0,0.0,1,-29.6,-27.97
Johnson C Smith Golden Bulls,0,0.0,1,-10.16,0,0.0,0,0.0,-10.16
Montana Tech Orediggers,0,0.0,0,0.0,1,32.0,0,0.0,32.0
Spurgeon College Knights,0,0.0,0,0.0,0,0.0,1,-23.33,-23.33
Saint Leo Monarchs,0,0.0,1,-42.31,0,0.0,0,0.0,-42.31
Manhattanville Valiants,0,0.0,0,0.0,1,-24.37,0,0.0,-24.37
Caltech CALTECH,0,0.0,0,0.0,1,-24.64,0,0.0,-24.64
Saint Josephs Long Island Golden Eagles,0,0.0,0,0.0,0,0.0,1,-64.06,-64.06
Wilson College WILSON,0,0.0,0,0.0,0,0.0,1,-31.1,-31.1
St. Thomas (TX) Celts,0,0.0,0,0.0,0,0.0,1,7.2,7.2
Point University Skyhawks,0,0.0,1,-40.47,0,0.0,0,0.0,-40.47
Rhodes Lynx,0,0.0,0,0.0,1,-50.19,1,-4.57,-27.38
Georgian Court Lions,1,-19.0,1,-32.6,0,0.0,0,0.0,-25.8
UC Santa Cruz Banana Slugs,0,0.0,2,-28.92,0,0.0,0,0.0,-28.92
Aquinas Saints,1,-56.52,0,0.0,0,0.0,0,0.0,-56.52
Park University Gilbert Buccaneers,0,0.0,1,9.73,0,0.0,0,0.0,9.73
Oakwood Ambassadors,0,0.0,0,0.0,2,-37.39,1,-9.34,-28.04
St. Elizabeth Eagles,0,0.0,0,0.0,0,0.0,1,-23.16,-23.16
Mercy Mavericks,0,0.0,0,0.0,0,0.0,1,-32.01,-32.01
Hawai'i Pacific Sea Warriors,0,0.0,1,9.25,0,0.0,1,7.8,8.53
Pacific Lutheran Lutes,0,0.0,0,0.0,0,0.0,1,-13.13,-13.13
Kean Cougars,0,0.0,0,0.0,0,0.0,1,-12.62,-12.62
Calumet Crimson Wave,0,0.0,0,0.0,0,0.0,2,-35.02,-35.02
Cheyney (PA) Wolves,0,0.0,0,0.0,0,0.0,2,-17.85,-17.85
WVU Tech Golden Bears,0,0.0,0,0.0,1,-38.75,0,0.0,-38.75
Jessup University Warriors,0,0.0,0,0.0,0,0.0,1,-2.97,-2.97
Pacific Union PACIFIC UNION,0,0.0,1,-53.94,0,0.0,0,0.0,-53.94
Baptist (Fl) Eagles,0,0.0,0,0.0,1,-65.42,0,0.0,-65.42
Emmanuel (MA) Lions,0,0.0,0,0.0,0,0.0,1,5.96,5.96
Caldwell Cougars,0,0.0,0,0.0,0,0.0,1,-23.85,-23.85
Buena Vista Beavers,0,0.0,1,-32.64,0,0.0,0,0.0,-32.64
Penn St Abington Nittany Lions,0,0.0,1,-33.84,0,0.0,1,-15.38,-24.61
Miami (OH)-Middletown ThunderHawks,0,0.0,0,0.0,0,0.0,1,-27.61,-27.61
Dominican (CA) Penguins,0,0.0,1,-2.71,0,0.0,1,-12.35,-7.53
North Greenville Crusaders,0,0.0,0,0.0,0,0.0,2,10.02,10.02
Bob Jones Bruins,1,-37.86,1,-34.83,1,-44.29,0,0.0,-38.99
Ohio Christian Trailblazers,0,0.0,1,-38.18,0,0.0,0,0.0,-38.18
Arkansas Tech Wonder Boys,0,0.0,0,0.0,1,-16.26,0,0.0,-16.26
Maine-Augusta Moose,0,0.0,0,0.0,1,-19.59,0,0.0,-19.59
Evangel Crusaders,0,0.0,0,0.0,0,0.0,1,0.74,0.74
Houghton Highlanders,0,0.0,0,0.0,0,0.0,1,-15.83,-15.83
Illinois Tech Scarlet Hawks,0,0.0,0,0.0,0,0.0,2,-9.74,-9.74
Oakland City Mighty Oaks,0,0.0,0,0.0,1,-29.84,1,-46.71,-38.28
North Central (MN) Rams,1,-33.22,0,0.0,0,0.0,0,0.0,-33.22
Indiana University East IU EAST,1,-29.12,0,0.0,0,0.0,1,-30.95,-30.04
Life Pacific Warriors,0,0.0,0,0.0,1,-16.45,1,11.11,-2.67
Trinity (TX) Tigers,0,0.0,0,0.0,0,0.0,1,-32.7,-32.7
UC Merced Bobcats,1,-57.31,0,0.0,0,0.0,0,0.0,-57.31
Old Westbury Panthers,0,0.0,1,-83.81,0,0.0,0,0.0,-83.81
Montana-Western Bulldogs,0,0.0,1,-7.77,0,0.0,0,0.0,-7.77
Lawrence University Vikings,1,-36.95,0,0.0,0,0.0,0,0.0,-36.95
Maine-Fort Kent Bengals,0,0.0,0,0.0,0,0.0,1,-30.42,-30.42
Shaw Bears,0,0.0,0,0.0,1,15.05,0,0.0,15.05
Bryant Str-Alb Bobcats,0,0.0,0,0.0,0,0.0,1,-65.39,-65.39
Toccoa Falls Eagles,1,-31.0,0,0.0,1,-21.7,2,-27.75,-27.05
Randolph College Wildcats,0,0.0,0,0.0,0,0.0,1,-38.09,-38.09
John Brown Golden Eagles,0,0.0,0,0.0,0,0.0,1,-56.46,-56.46
Doane Tigers,0,0.0,0,0.0,1,-2.93,0,0.0,-2.93
St. Joseph's (NY) Bears,0,0.0,0,0.0,0,0.0,1,-25.61,-25.61
Mary Baldwin Fighting Squirrels,1,-56.83,0,0.0,1,-38.96,0,0.0,-47.9
Millsaps Majors,0,0.0,1,-0.72,0,0.0,0,0.0,-0.72
William Peace Pacers,0,0.0,1,-15.98,0,0.0,0,0.0,-15.98
Regis (CO) REGIS UNIVERSITY,1,-19.04,0,0.0,0,0.0,0,0.0,-19.04
University of The Southwest Mustangs,0,0.0,0,0.0,1,-77.16,0,0.0,-77.16
Defiance Yellow Jackets,0,0.0,1,-57.91,0,0.0,1,-37.16,-47.54
Rust Bearcats,0,0.0,0,0.0,0,0.0,1,-40.18,-40.18
Kansas Christian Falcons,0,0.0,0,0.0,0,0.0,1,-59.5,-59.5
Virginia St Trojans,0,0.0,0,0.0,0,0.0,1,-7.78,-7.78
Lewis & Clark Pioneers,0,0.0,0,0.0,1,21.39,0,0.0,21.39
Williams Baptist Eagles,0,0.0,0,0.0,0,0.0,1,-6.99,-6.99
Vermont State - Lyndon Hornets,0,0.0,0,0.0,0,0.0,1,-42.9,-42.9
Northeastern State RiverHawks,0,0.0,0,0.0,1,4.12,0,0.0,4.12
LeTourneau Yellow Jackets,0,0.0,1,-40.57,0,0.0,0,0.0,-40.57
Huntingdon College (AL) Hawks,0,0.0,0,0.0,0,0.0,1,-2.36,-2.36
Warner Pacific Knights,0,0.0,0,0.0,1,-35.1,0,0.0,-35.1
Farmingdale State Rams,0,0.0,0,0.0,0,0.0,1,-25.88,-25.88
Siena Heights Saints,1,-23.19,0,0.0,0,0.0,1,-22.69,-22.94
Arlington Baptist Patriots,1,-37.62,0,0.0,0,0.0,2,-40.76,-39.71
Cincinnati Clermont Cougars,0,0.0,1,-34.94,0,0.0,0,0.0,-34.94
Schreiner Mountaineers,0,0.0,1,-36.92,0,0.0,0,0.0,-36.92
Arcadia ARCADIA,0,0.0,0,0.0,0,0.0,1,-11.99,-11.99
Bethany (WV) Bison,1,-45.91,0,0.0,0,0.0,1,-34.55,-40.23
Holy Family University Tigers,0,0.0,0,0.0,0,0.0,1,-17.55,-17.55
Colorado College Tigers,1,-26.01,0,0.0,0,0.0,0,0.0,-26.01
Blue Mountain Toppers,0,0.0,0,0.0,1,-35.34,1,-26.9,-31.12
Widener Pride,0,0.0,0,0.0,0,0.0,1,-39.52,-39.52
Wilmington (DE) Wildcats,0,0.0,0,0.0,0,0.0,1,-5.06,-5.06
Redlands Bulldogs,0,0.0,0,0.0,0,0.0,1,-8.5,-8.5
Tusculum Pioneers,0,0.0,1,-24.35,1,-38.59,0,0.0,-31.47
Mississippi University For Women Owls,0,0.0,0,0.0,0,0.0,1,-36.52,-36.52
Northwood (MI) Timberwolves,0,0.0,0,0.0,0,0.0,1,1.69,1.69
Apprentice School Builders,0,0.0,0,0.0,0,0.0,1,-37.24,-37.24
Southern Virginia Knights,1,-33.78,0,0.0,1,-54.13,0,0.0,-43.96
La Verne Leopards,1,-2.7,0,0.0,0,0.0,0,0.0,-2.7
St. Ambrose Fighting Bees,0,0.0,0,0.0,0,0.0,1,9.98,9.98
Fort Valley State Wildcats,0,0.0,0,0.0,0,0.0,1,-33.75,-33.75
District Of Columbia Firebirds,0,0.0,0,0.0,0,0.0,1,-9.36,-9.36
Lyon Scots,0,0.0,0,0.0,0,0.0,1,-67.89,-67.89
Morris College Hornets,0,0.0,0,0.0,1,-31.42,0,0.0,-31.42
LaGrange Panthers,0,0.0,0,0.0,2,-49.51,0,0.0,-49.51
Simpson College (IA) Storm,0,0.0,1,-43.39,0,0.0,0,0.0,-43.39
Molloy Lions,0,0.0,1,-27.43,0,0.0,0,0.0,-27.43
Voorhees Tigers,0,0.0,0,0.0,0,0.0,1,-56.72,-56.72
Southern-New Orleans Knights,0,0.0,0,0.0,0,0.0,1,-38.2,-38.2
Washington and Lee Generals,0,0.0,0,0.0,1,-21.58,0,0.0,-21.58
Elizabeth City State Vikings,0,0.0,0,0.0,0,0.0,1,-12.3,-12.3
Whitman Missionaries,0,0.0,1,-41.63,0,0.0,0,0.0,-41.63
Coe Kohawks,0,0.0,0,0.0,1,-76.15,1,-13.72,-44.94
Florida National Conquistadors,0,0.0,1,-54.1,0,0.0,0,0.0,-54.1
Rockford Regents,1,-33.32,0,0.0,0,0.0,0,0.0,-33.32
Ozark Christian Ambassadors,0,0.0,0,0.0,1,-10.58,0,0.0,-10.58
Alaska Anchorage Seawolves,1,-13.53,0,0.0,0,0.0,0,0.0,-13.53
Holy Cross College (IN) Saints,0,0.0,0,0.0,1,-28.05,0,0.0,-28.05
Marywood Pacers,0,0.0,0,0.0,1,-39.88,0,0.0,-39.88
Worcester State Lancers,0,0.0,0,0.0,0,0.0,2,-32.19,-32.19
Western New England Golden Bears,0,0.0,1,0.05,0,0.0,0,0.0,0.05
Colorado-Colorado Springs Mountain Lions,1,21.4,0,0.0,0,0.0,0,0.0,21.4
Elms College Blazers,0,0.0,0,0.0,1,-48.73,1,-76.49,-62.61
Florida Memorial FLORIDA MEMORIAL,0,0.0,0,0.0,0,0.0,1,-29.37,-29.37
Lourdes University Gray Wolves,0,0.0,0,0.0,1,-21.9,0,0.0,-21.9
Penn State-New Kensington Lions,0,0.0,0,0.0,0,0.0,1,-53.61,-53.61
Brandeis Judges,1,-9.46,0,0.0,0,0.0,0,0.0,-9.46
Roberts Wesleyan Redhawks,1,-25.24,0,0.0,0,0.0,0,0.0,-25.24
Lancasater Bible College Chargers,0,0.0,0,0.0,0,0.0,1,-48.55,-48.55
Georgia College Bobcats,0,0.0,1,-55.33,0,0.0,0,0.0,-55.33
Fresno Pacific Sunbirds,0,0.0,0,0.0,0,0.0,1,-42.05,-42.05
Centenary (LA) Gentlemen,0,0.0,0,0.0,0,0.0,1,-33.91,-33.91
Christendom Crusaders,0,0.0,0,0.0,0,0.0,1,-62.31,-62.31
Concordia-Nebraska Clippers,0,0.0,0,0.0,1,11.35,0,0.0,11.35
Midwestern State Mustangs,0,0.0,0,0.0,1,-41.75,0,0.0,-41.75
UNT Dallas Trailblazers,0,0.0,0,0.0,0,0.0,1,-70.73,-70.73
Dickinson (PA) Red Devils,0,0.0,0,0.0,0,0.0,1,-62.11,-62.11
