Team,Total_Games,Overall_NetEff,Q1_Games,Q1_NetEff,Q1_NetEff_Shrunk,Q1_Confidence,Q2_Games,Q2_NetEff,Q2_NetEff_Shrunk,Q2_Confidence,Q3_Games,Q3_NetEff,Q3_NetEff_Shrunk,Q3_Confidence,Q4_Games,Q4_NetEff,Q4_NetEff_Shrunk,Q4_Confidence
Houston Cougars,8,10.14,1,,,LOW,0,,,LOW,2,,,LOW,5,14.14,12.36,HIGH
Memphis Tigers,7,-5.0,1,,,LOW,1,,,LOW,3,-8.78,-6.62,MEDIUM,2,,,LOW
Charleston Southern Buccaneers,3,32.64,0,,,LOW,0,,,LOW,0,,,LOW,3,32.64,32.64,MEDIUM
Belmont Bruins,6,7.41,0,,,LOW,0,,,LOW,4,5.55,6.48,MEDIUM,2,,,LOW
Oral Roberts Golden Eagles,3,-17.67,0,,,LOW,2,,,LOW,1,,,LOW,0,,,LOW
Kentucky Wildcats,10,22.91,2,,,LOW,1,,,LOW,0,,,LOW,7,33.74,29.8,HIGH
Maine Black Bears,4,-31.95,0,,,LOW,0,,,LOW,1,,,LOW,3,-37.95,-34.52,MEDIUM
Pepperdine Waves,8,-13.97,2,,,LOW,0,,,LOW,2,,,LOW,4,-0.41,-7.19,MEDIUM
Pacific Tigers,5,12.87,0,,,LOW,0,,,LOW,0,,,LOW,5,12.87,12.87,HIGH
Marshall Thundering Herd,7,10.73,0,,,LOW,0,,,LOW,2,,,LOW,5,15.15,13.19,HIGH
Penn State Nittany Lions,10,15.24,3,-12.63,3.3,MEDIUM,0,,,LOW,0,,,LOW,7,27.19,22.84,HIGH
Washington State Cougars,7,11.55,0,,,LOW,1,,,LOW,3,5.59,9.0,MEDIUM,3,21.19,15.68,MEDIUM
Northeastern Huskies,3,-2.43,0,,,LOW,0,,,LOW,0,,,LOW,3,-2.43,-2.43,MEDIUM
St. Bonaventure Bonnies,7,15.37,0,,,LOW,0,,,LOW,1,,,LOW,6,16.89,16.28,HIGH
Ohio Bobcats,7,6.08,0,,,LOW,0,,,LOW,4,4.7,5.39,MEDIUM,3,7.93,6.87,MEDIUM
Montana Grizzlies,6,2.45,0,,,LOW,0,,,LOW,3,6.13,4.03,MEDIUM,3,-1.23,0.87,MEDIUM
App State Mountaineers,6,5.95,0,,,LOW,0,,,LOW,1,,,LOW,5,9.69,8.03,HIGH
Northwestern State Demons,4,-4.9,0,,,LOW,0,,,LOW,1,,,LOW,3,-4.59,-4.77,MEDIUM
Bellarmine Knights,4,9.18,0,,,LOW,0,,,LOW,0,,,LOW,4,9.18,9.18,MEDIUM
Clemson Tigers,8,20.25,0,,,LOW,2,,,LOW,1,,,LOW,5,27.65,24.36,HIGH
Manhattan Jaspers,5,2.94,0,,,LOW,0,,,LOW,2,,,LOW,3,9.54,5.77,MEDIUM
Illinois Fighting Illini,6,21.94,2,,,LOW,0,,,LOW,1,,,LOW,3,27.71,24.41,MEDIUM
Missouri State Bears,6,15.17,0,,,LOW,0,,,LOW,2,,,LOW,4,14.72,14.94,MEDIUM
Utah Valley Wolverines,4,18.24,0,,,LOW,0,,,LOW,2,,,LOW,2,,,LOW
Little Rock Trojans,4,11.27,0,,,LOW,0,,,LOW,1,,,LOW,3,11.09,11.19,MEDIUM
Loyola Chicago Ramblers,9,0.78,0,,,LOW,0,,,LOW,3,-5.09,-1.73,MEDIUM,6,3.71,2.54,HIGH
Purdue Fort Wayne Mastodons,6,10.03,0,,,LOW,0,,,LOW,0,,,LOW,6,10.03,10.03,HIGH
USC Trojans,7,13.85,0,,,LOW,1,,,LOW,2,,,LOW,4,28.7,21.27,MEDIUM
Valparaiso Beacons,7,1.57,0,,,LOW,0,,,LOW,2,,,LOW,5,-4.66,-1.89,HIGH
Holy Cross Crusaders,5,-4.68,0,,,LOW,0,,,LOW,0,,,LOW,5,-4.68,-4.68,HIGH
Cincinnati Bearcats,10,1.49,1,,,LOW,0,,,LOW,2,,,LOW,7,2.51,2.14,HIGH
UAB Blazers,10,12.77,0,,,LOW,0,,,LOW,5,10.3,11.4,HIGH,5,15.25,14.15,HIGH
Old Dominion Monarchs,6,3.78,0,,,LOW,0,,,LOW,0,,,LOW,6,3.78,3.78,HIGH
Milwaukee Panthers,6,8.98,0,,,LOW,0,,,LOW,0,,,LOW,6,8.98,8.98,HIGH
Mississippi Valley State Delta Devils,3,-25.98,0,,,LOW,0,,,LOW,0,,,LOW,3,-25.98,-25.98,MEDIUM
Boston University Terriers,5,17.65,0,,,LOW,0,,,LOW,0,,,LOW,5,17.65,17.65,HIGH
Grand Canyon Lopes,8,9.59,0,,,LOW,0,,,LOW,1,,,LOW,7,12.75,11.6,HIGH
Abilene Christian Wildcats,3,5.63,0,,,LOW,0,,,LOW,2,,,LOW,1,,,LOW
Stephen F. Austin Lumberjacks,3,16.85,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
Detroit Mercy Titans,3,-1.19,0,,,LOW,0,,,LOW,0,,,LOW,3,-1.19,-1.19,MEDIUM
Niagara Purple Eagles,4,9.47,0,,,LOW,0,,,LOW,0,,,LOW,4,9.47,9.47,MEDIUM
Alabama Crimson Tide,7,19.33,2,,,LOW,1,,,LOW,2,,,LOW,2,,,LOW
Saint Francis Red Flash,4,-4.37,0,,,LOW,0,,,LOW,0,,,LOW,4,-4.37,-4.37,MEDIUM
Virginia Tech Hokies,10,13.96,1,,,LOW,0,,,LOW,3,7.1,11.02,MEDIUM,6,21.32,18.38,HIGH
Howard Bison,3,-0.76,0,,,LOW,1,,,LOW,0,,,LOW,2,,,LOW
Sacramento State Hornets,3,7.64,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
UCLA Bruins,9,19.67,0,,,LOW,0,,,LOW,2,,,LOW,7,20.28,20.06,HIGH
Virginia Cavaliers,9,30.18,0,,,LOW,0,,,LOW,3,23.49,27.31,MEDIUM,6,33.52,32.19,HIGH
Austin Peay Governors,3,16.01,0,,,LOW,0,,,LOW,0,,,LOW,3,16.01,16.01,MEDIUM
Weber State Wildcats,6,20.53,0,,,LOW,0,,,LOW,1,,,LOW,5,24.23,22.58,HIGH
Michigan Wolverines,7,31.01,1,,,LOW,2,,,LOW,3,33.69,32.16,MEDIUM,1,,,LOW
Columbia Lions,5,8.19,0,,,LOW,0,,,LOW,1,,,LOW,4,10.64,9.41,MEDIUM
Louisville Cardinals,8,25.88,2,,,LOW,0,,,LOW,1,,,LOW,5,30.43,28.41,HIGH
Wake Forest Demon Deacons,11,10.83,1,,,LOW,3,-3.06,4.88,MEDIUM,0,,,LOW,7,21.64,17.71,HIGH
Idaho State Bengals,4,26.8,0,,,LOW,0,,,LOW,0,,,LOW,4,26.8,26.8,MEDIUM
Texas Longhorns,9,25.58,1,,,LOW,1,,,LOW,0,,,LOW,7,30.26,28.56,HIGH
UNC Wilmington Seahawks,9,7.32,0,,,LOW,0,,,LOW,1,,,LOW,8,8.15,7.87,HIGH
Dartmouth Big Green,4,-7.09,0,,,LOW,0,,,LOW,1,,,LOW,3,2.99,-2.77,MEDIUM
Longwood Lancers,5,5.22,0,,,LOW,0,,,LOW,1,,,LOW,4,2.21,3.71,MEDIUM
Morgan State Bears,4,5.19,0,,,LOW,0,,,LOW,0,,,LOW,4,5.19,5.19,MEDIUM
Hampton Pirates,3,12.41,0,,,LOW,0,,,LOW,0,,,LOW,3,12.41,12.41,MEDIUM
Robert Morris Colonials,5,8.43,0,,,LOW,0,,,LOW,0,,,LOW,5,8.43,8.43,HIGH
Northern Iowa Panthers,9,6.39,0,,,LOW,1,,,LOW,3,3.06,4.96,MEDIUM,5,8.75,7.7,HIGH
Bradley Braves,7,10.86,0,,,LOW,0,,,LOW,2,,,LOW,5,20.32,16.11,HIGH
Saint Mary's Gaels,8,21.94,0,,,LOW,0,,,LOW,5,19.04,20.33,HIGH,3,26.77,24.01,MEDIUM
Western Illinois Leathernecks,4,-14.06,0,,,LOW,0,,,LOW,0,,,LOW,4,-14.06,-14.06,MEDIUM
Stony Brook Seawolves,5,-1.73,0,,,LOW,0,,,LOW,1,,,LOW,4,1.29,-0.22,MEDIUM
UTEP Miners,4,11.38,0,,,LOW,0,,,LOW,2,,,LOW,2,,,LOW
TCU Horned Frogs,9,8.32,1,,,LOW,2,,,LOW,0,,,LOW,6,13.41,11.37,HIGH
Tulsa Golden Hurricane,5,31.9,0,,,LOW,0,,,LOW,0,,,LOW,5,31.9,31.9,HIGH
Air Force Falcons,9,-5.1,1,,,LOW,0,,,LOW,4,-11.0,-8.05,MEDIUM,4,3.42,-0.84,MEDIUM
Saint Louis Billikens,10,30.53,0,,,LOW,0,,,LOW,2,,,LOW,8,36.84,34.74,HIGH
Army Black Knights,7,-5.27,1,,,LOW,1,,,LOW,0,,,LOW,5,0.95,-1.81,HIGH
Incarnate Word Cardinals,5,27.91,0,,,LOW,1,,,LOW,0,,,LOW,4,33.74,30.82,MEDIUM
Radford Highlanders,7,27.78,0,,,LOW,2,,,LOW,0,,,LOW,5,28.59,28.23,HIGH
Loyola Marymount Lions,10,7.38,1,,,LOW,1,,,LOW,3,-2.52,3.14,MEDIUM,5,15.97,12.15,HIGH
Le Moyne Dolphins,3,13.18,0,,,LOW,0,,,LOW,0,,,LOW,3,13.18,13.18,MEDIUM
UC San Diego Tritons,3,10.57,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
Pennsylvania Quakers,6,2.96,0,,,LOW,0,,,LOW,1,,,LOW,5,8.76,6.18,HIGH
Miami (OH) RedHawks,6,14.87,0,,,LOW,1,,,LOW,0,,,LOW,5,18.88,17.1,HIGH
Rhode Island Rams,9,-1.51,0,,,LOW,1,,,LOW,0,,,LOW,8,-0.07,-0.55,HIGH
The Citadel Bulldogs,4,12.17,0,,,LOW,0,,,LOW,1,,,LOW,3,9.48,11.02,MEDIUM
West Georgia Wolves,5,2.55,0,,,LOW,0,,,LOW,0,,,LOW,5,2.55,2.55,HIGH
Bryant Bulldogs,4,5.4,0,,,LOW,0,,,LOW,1,,,LOW,3,5.76,5.55,MEDIUM
West Virginia Mountaineers,10,15.22,0,,,LOW,1,,,LOW,1,,,LOW,8,18.9,17.67,HIGH
Saint Peter's Peacocks,6,-5.78,0,,,LOW,0,,,LOW,1,,,LOW,5,-4.18,-4.89,HIGH
Cal State Northridge Matadors,5,17.77,0,,,LOW,0,,,LOW,2,,,LOW,3,15.62,16.85,MEDIUM
James Madison Dukes,5,8.66,0,,,LOW,0,,,LOW,1,,,LOW,4,13.38,11.02,MEDIUM
Wichita State Shockers,7,12.59,0,,,LOW,0,,,LOW,1,,,LOW,6,16.01,14.64,HIGH
UNC Greensboro Spartans,5,16.6,0,,,LOW,0,,,LOW,2,,,LOW,3,10.38,13.93,MEDIUM
UNC Asheville Bulldogs,6,2.82,0,,,LOW,0,,,LOW,4,-1.84,0.49,MEDIUM,2,,,LOW
Iowa Hawkeyes,10,36.38,0,,,LOW,1,,,LOW,2,,,LOW,7,45.05,41.89,HIGH
Bowling Green Falcons,6,2.13,0,,,LOW,0,,,LOW,3,-7.97,-2.2,MEDIUM,3,12.23,6.46,MEDIUM
Oakland Golden Grizzlies,3,30.71,0,,,LOW,0,,,LOW,0,,,LOW,3,30.71,30.71,MEDIUM
Marquette Golden Eagles,10,0.7,0,,,LOW,1,,,LOW,4,-12.63,-5.96,MEDIUM,5,12.7,7.37,HIGH
Elon Phoenix,7,17.75,0,,,LOW,0,,,LOW,3,4.47,12.06,MEDIUM,4,27.7,22.73,MEDIUM
Washington Huskies,7,15.93,0,,,LOW,1,,,LOW,1,,,LOW,5,18.83,17.54,HIGH
