Team,AdjRank,TotalGames,TotalWins,Q1_Record,Q1_Games,Q1_WinPct,Q1_NetEff,Q2_Record,Q2_Games,Q2_WinPct,Q2_NetEff,Q3_Record,Q3_Games,Q3_WinPct,Q3_NetEff,Q4_Record,Q4_Games,Q4_WinPct,Q4_NetEff
Loyola Marymount Lions,183.0,15,9,0-2,2,0.0,-36.2,0-1,1,0.0,-7.7,4-2,6,0.67,3.1,5-1,6,0.83,38.3
North Texas Mean Green,184.0,12,6,0-2,2,0.0,-28.3,2-1,3,0.67,-2.1,0-2,2,0.0,-4.6,4-1,5,0.8,29.8
Lamar Cardinals,185.0,14,6,0-1,1,0.0,-17.9,0-2,2,0.0,-24.2,1-0,1,1.0,7.1,5-5,10,0.5,10.5
Central Connecticut Blue Devils,186.0,13,7,0-1,1,0.0,-27.3,0-1,1,0.0,-8.1,1-4,5,0.2,-15.2,6-0,6,1.0,34.7
Chattanooga Mocs,187.0,14,6,0-1,1,0.0,-30.9,0-0,0,0.0,0.0,1-1,2,0.5,-15.4,5-6,11,0.45,16.7
Missouri State Bears,188.0,11,8,0-1,1,0.0,-40.7,0-0,0,0.0,0.0,1-1,2,0.5,-8.3,7-1,8,0.88,19.1
Mercer Bears,189.0,9,5,0-1,1,0.0,-25.6,0-1,1,0.0,-49.8,1-1,2,0.5,3.6,4-1,5,0.8,39.0
Brown Bears,190.0,14,6,0-1,1,0.0,-14.9,0-1,1,0.0,-27.2,0-4,4,0.0,-12.9,6-2,8,0.75,28.6
Charlotte 49ers,191.0,15,9,0-2,2,0.0,-29.3,1-0,1,1.0,4.6,1-1,2,0.5,10.3,7-3,10,0.7,6.8
Tennessee State Tigers,192.0,10,8,0-0,0,0.0,0.0,1-0,1,1.0,9.0,1-1,2,0.5,-7.3,6-1,7,0.86,19.8
Davidson Wildcats,193.0,13,7,0-0,0,0.0,0.0,0-2,2,0.0,-26.8,2-2,4,0.5,4.0,5-2,7,0.71,9.9
Cornell Big Red,194.0,11,4,0-2,2,0.0,-20.1,0-1,1,0.0,-10.7,0-1,1,0.0,-3.7,4-3,7,0.57,17.5
Penn State Nittany Lions,195.0,4,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-3,4,0.25,-8.3
Lipscomb Bisons,196.0,11,7,0-1,1,0.0,-71.5,0-0,0,0.0,0.0,2-1,3,0.67,7.7,5-2,7,0.71,21.6
Southeast Missouri State Redhawks,197.0,8,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,-2.0,5-1,6,0.83,24.3
Boston College Eagles,198.0,16,7,0-2,2,0.0,-13.9,1-2,3,0.33,-5.7,1-0,1,1.0,18.6,5-5,10,0.5,5.0
Grambling Tigers,199.0,14,8,0-1,1,0.0,-40.1,0-1,1,0.0,-3.5,1-1,2,0.5,-3.9,7-3,10,0.7,8.5
Dartmouth Big Green,200.0,10,6,0-2,2,0.0,-25.6,1-0,1,1.0,13.4,1-0,1,1.0,37.5,4-2,6,0.67,21.5
Washington State Cougars,201.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,6.9
Western Kentucky Hilltoppers,202.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,30.4
Utah Utes,203.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-12.9,1-0,1,1.0,3.4,0-0,0,0.0,0.0
Longwood Lancers,204.0,13,8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-2,3,0.33,-4.1,7-3,10,0.7,16.2
Fresno State Bulldogs,205.0,13,7,1-1,2,0.5,-4.6,1-1,2,0.5,-13.2,0-3,3,0.0,-8.3,5-1,6,0.83,22.4
Nicholls Colonels,206.0,8,4,0-1,1,0.0,-17.5,0-2,2,0.0,-15.1,1-1,2,0.5,-2.3,3-0,3,1.0,30.1
Arizona State Sun Devils,207.0,16,10,1-1,2,0.5,-3.8,0-1,1,0.0,-7.3,1-0,1,1.0,4.0,8-4,12,0.67,4.4
Valparaiso Beacons,208.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-1,3,0.67,26.1
Coastal Carolina Chanticleers,209.0,15,7,0-2,2,0.0,-57.4,1-0,1,1.0,5.5,2-3,5,0.4,-0.8,4-3,7,0.57,16.8
South Dakota State Jackrabbits,210.0,6,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-3,6,0.5,8.6
Toledo Rockets,211.0,6,6,0-0,0,0.0,0.0,1-0,1,1.0,14.5,1-0,1,1.0,18.4,4-0,4,1.0,28.2
UC Davis Aggies,212.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,10.2,2-0,2,1.0,41.5
Le Moyne Dolphins,213.0,10,5,0-1,1,0.0,-61.0,0-1,1,0.0,-17.4,0-1,1,0.0,-15.9,5-2,7,0.71,17.6
Jacksonville State Gamecocks,214.0,9,4,0-0,0,0.0,0.0,0-2,2,0.0,-11.8,0-1,1,0.0,-9.7,4-2,6,0.67,34.0
Boston University Terriers,215.0,15,6,0-1,1,0.0,-7.4,0-3,3,0.0,-22.2,1-2,3,0.33,-10.4,5-3,8,0.62,11.2
Wagner Seahawks,216.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,30.5
Memphis Tigers,217.0,11,5,0-0,0,0.0,0.0,0-1,1,0.0,-8.6,1-2,3,0.33,-5.9,4-3,7,0.57,6.0
UT Rio Grande Valley Vaqueros,218.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,67.9
Southern Illinois Salukis,219.0,5,3,0-0,0,0.0,0.0,1-0,1,1.0,34.5,0-0,0,0.0,0.0,2-2,4,0.5,8.7
Oregon State Beavers,220.0,10,5,0-0,0,0.0,0.0,0-2,2,0.0,-54.8,3-1,4,0.75,11.3,2-2,4,0.5,-0.7
Southern Miss Golden Eagles,221.0,6,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,6-0,6,1.0,23.2
Loyola Maryland Greyhounds,222.0,7,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-4,7,0.43,12.3
Indiana State Sycamores,223.0,8,6,0-1,1,0.0,-14.8,1-0,1,1.0,13.2,1-1,2,0.5,0.0,4-0,4,1.0,33.2
Central Arkansas Bears,224.0,15,7,0-1,1,0.0,-35.5,0-1,1,0.0,-20.5,0-2,2,0.0,-18.5,7-4,11,0.64,16.4
Saint Joseph's Hawks,225.0,7,3,0-2,2,0.0,-46.8,0-1,1,0.0,-12.3,0-1,1,0.0,-18.4,3-0,3,1.0,29.6
Howard Bison,226.0,12,6,1-0,1,1.0,1.4,0-2,2,0.0,-32.3,0-0,0,0.0,0.0,5-4,9,0.56,12.8
South Carolina Upstate Spartans,227.0,9,4,0-1,1,0.0,-20.2,0-1,1,0.0,-14.1,0-1,1,0.0,-30.1,4-2,6,0.67,30.0
American University Eagles,228.0,17,9,0-1,1,0.0,-52.1,0-2,2,0.0,-17.7,3-2,5,0.6,-1.7,6-3,9,0.67,19.5
South Dakota Coyotes,229.0,8,5,0-1,1,0.0,-39.3,0-1,1,0.0,-18.3,0-0,0,0.0,0.0,5-1,6,0.83,21.9
Northeastern Huskies,230.0,7,0,0-1,1,0.0,-11.6,0-2,2,0.0,-11.4,0-2,2,0.0,-18.7,0-2,2,0.0,-13.5
Florida State Seminoles,231.0,10,4,0-2,2,0.0,-52.2,1-0,1,1.0,13.9,1-0,1,1.0,29.6,2-4,6,0.33,-0.2
Drake Bulldogs,232.0,14,7,0-2,2,0.0,-18.0,0-1,1,0.0,-8.1,0-2,2,0.0,-5.4,7-2,9,0.78,21.4
Marquette Golden Eagles,233.0,11,4,0-0,0,0.0,0.0,0-1,1,0.0,-8.1,0-1,1,0.0,-4.3,4-5,9,0.44,-2.2
Incarnate Word Cardinals,234.0,13,7,0-2,2,0.0,-9.3,0-0,0,0.0,0.0,1-3,4,0.25,-10.7,6-1,7,0.86,32.4
Merrimack Warriors,235.0,10,5,1-0,1,1.0,7.5,0-0,0,0.0,0.0,0-4,4,0.0,-17.0,4-1,5,0.8,3.9
Milwaukee Panthers,236.0,10,4,0-1,1,0.0,-26.7,0-1,1,0.0,-8.7,0-2,2,0.0,-18.8,4-2,6,0.67,9.6
Florida International Panthers,237.0,15,8,0-3,3,0.0,-27.6,0-0,0,0.0,0.0,1-3,4,0.25,-1.0,7-1,8,0.88,25.5
Montana Grizzlies,238.0,12,7,0-1,1,0.0,-7.3,0-1,1,0.0,-13.0,2-1,3,0.67,-2.3,5-2,7,0.71,30.0
Colgate Raiders,239.0,15,7,1-0,1,1.0,4.9,0-0,0,0.0,0.0,1-3,4,0.25,-3.5,5-5,10,0.5,5.1
Delaware Blue Hens,240.0,13,5,1-0,1,1.0,19.0,0-0,0,0.0,0.0,1-3,4,0.25,-9.1,3-5,8,0.38,-4.3
Cal State Northridge Matadors,241.0,15,8,0-2,2,0.0,-39.1,0-0,0,0.0,0.0,3-3,6,0.5,2.0,5-2,7,0.71,9.2
Cal Poly Mustangs,242.0,18,7,0-1,1,0.0,-31.6,1-1,2,0.5,-18.5,2-3,5,0.4,-4.1,4-6,10,0.4,-0.6
Detroit Mercy Titans,243.0,13,5,0-0,0,0.0,0.0,1-1,2,0.5,-19.8,0-2,2,0.0,-5.8,4-5,9,0.44,2.6
Sacred Heart Pioneers,244.0,5,1,0-0,0,0.0,0.0,0-1,1,0.0,-56.3,0-0,0,0.0,0.0,1-3,4,0.25,3.6
UIC Flames,245.0,5,3,0-0,0,0.0,0.0,0-1,1,0.0,-23.7,0-1,1,0.0,-11.1,3-0,3,1.0,37.8
Cal State Bakersfield Roadrunners,246.0,18,8,0-0,0,0.0,0.0,0-3,3,0.0,-29.8,3-4,7,0.43,-12.5,5-3,8,0.62,8.0
Utah Tech Trailblazers,248.0,5,4,0-1,1,0.0,-22.1,1-0,1,1.0,2.7,0-0,0,0.0,0.0,3-0,3,1.0,49.6
Green Bay Phoenix,249.0,16,10,0-1,1,0.0,-10.2,0-2,2,0.0,-39.1,2-0,2,1.0,4.3,8-3,11,0.73,8.6
Boise State Broncos,250.0,16,9,1-1,2,0.5,-12.2,3-3,6,0.5,0.2,1-0,1,1.0,31.2,4-3,7,0.57,7.4
Florida Gulf Coast Eagles,251.0,13,6,0-2,2,0.0,-26.9,0-0,0,0.0,0.0,1-3,4,0.25,1.9,5-2,7,0.71,11.7
Texas A&M-Corpus Christi Islanders,252.0,6,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,6.8,4-1,5,0.8,36.9
San Diego Toreros,253.0,8,2,0-1,1,0.0,-35.4,1-2,3,0.33,-18.6,0-1,1,0.0,-14.4,1-2,3,0.33,-0.8
Purdue Fort Wayne Mastodons,254.0,8,5,0-1,1,0.0,-38.4,1-0,1,1.0,2.9,1-1,2,0.5,-2.2,3-1,4,0.75,38.7
Princeton Tigers,255.0,7,3,0-0,0,0.0,0.0,0-1,1,0.0,-6.9,2-0,2,1.0,18.2,1-3,4,0.25,11.1
Mercyhurst Lakers,256.0,8,4,0-2,2,0.0,-31.9,0-2,2,0.0,-24.5,1-0,1,1.0,1.3,3-0,3,1.0,37.5
Alabama A&M Bulldogs,257.0,16,8,0-2,2,0.0,-61.0,0-0,0,0.0,0.0,1-2,3,0.33,-18.8,7-4,11,0.64,11.6
Presbyterian Blue Hose,258.0,10,5,0-1,1,0.0,-34.2,0-0,0,0.0,0.0,0-2,2,0.0,-21.8,5-2,7,0.71,20.1
Towson Tigers,259.0,5,2,0-1,1,0.0,-44.5,0-1,1,0.0,-20.4,0-0,0,0.0,0.0,2-1,3,0.67,29.9
Ohio Bobcats,260.0,4,3,0-1,1,0.0,-45.9,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,31.0
Abilene Christian Wildcats,261.0,17,10,0-1,1,0.0,-16.1,1-0,1,1.0,20.9,2-2,4,0.5,-4.7,7-4,11,0.64,4.6
North Dakota Fighting Hawks,262.0,11,8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,2.6,7-3,10,0.7,18.7
Maryland Terrapins,263.0,8,4,0-1,1,0.0,-19.3,0-0,0,0.0,0.0,0-1,1,0.0,-16.5,4-2,6,0.67,6.2
Stony Brook Seawolves,264.0,6,2,0-0,0,0.0,0.0,0-3,3,0.0,-15.3,0-0,0,0.0,0.0,2-1,3,0.67,22.5
Omaha Mavericks,265.0,8,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-2,3,0.33,-17.6,5-0,5,1.0,26.5
Cal State Fullerton Titans,266.0,17,8,0-3,3,0.0,-10.1,1-2,3,0.33,-26.0,1-2,3,0.33,-8.3,6-2,8,0.75,18.4
Portland Pilots,267.0,11,3,0-2,2,0.0,-46.8,0-2,2,0.0,-8.7,0-3,3,0.0,-27.3,3-1,4,0.75,16.5
Old Dominion Monarchs,268.0,5,1,0-1,1,0.0,-11.9,0-2,2,0.0,-19.2,0-0,0,0.0,0.0,1-1,2,0.5,6.6
Army Black Knights,269.0,17,7,0-1,1,0.0,-17.1,0-2,2,0.0,-16.2,1-3,4,0.25,-14.6,6-4,10,0.6,3.1
Norfolk State Spartans,270.0,10,4,0-1,1,0.0,-13.2,0-0,0,0.0,0.0,0-1,1,0.0,-4.2,4-4,8,0.5,17.8
Western Michigan Broncos,271.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-1,3,0.67,19.2
Denver Pioneers,272.0,16,7,0-2,2,0.0,-32.7,1-3,4,0.25,-7.6,1-3,4,0.25,-10.8,5-1,6,0.83,25.8
UNC Asheville Bulldogs,273.0,6,4,0-1,1,0.0,-27.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,4-1,5,0.8,21.8
Middle Tennessee Blue Raiders,274.0,8,7,0-0,0,0.0,0.0,1-0,1,1.0,6.0,1-0,1,1.0,19.8,5-1,6,0.83,25.1
Loyola Chicago Ramblers,275.0,10,3,1-1,2,0.5,-15.8,0-1,1,0.0,-23.9,0-0,0,0.0,0.0,2-5,7,0.29,-12.6
North Alabama Lions,276.0,5,4,0-0,0,0.0,0.0,1-0,1,1.0,3.1,0-0,0,0.0,0.0,3-1,4,0.75,12.5
Lehigh Mountain Hawks,277.0,10,4,0-2,2,0.0,-34.7,0-0,0,0.0,0.0,0-1,1,0.0,-24.6,4-3,7,0.57,9.6
New Orleans Privateers,278.0,8,3,1-0,1,1.0,6.0,1-0,1,1.0,37.7,1-0,1,1.0,20.4,0-5,5,0.0,-23.9
Bellarmine Knights,279.0,16,6,0-3,3,0.0,-35.9,0-1,1,0.0,-9.5,0-3,3,0.0,-17.4,6-3,9,0.67,12.9
UMass Lowell River Hawks,280.0,4,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-51.9,3-0,3,1.0,49.1
Oakland Golden Grizzlies,281.0,9,5,0-1,1,0.0,-5.1,1-1,2,0.5,-9.6,0-1,1,0.0,-10.6,4-1,5,0.8,20.5
Tennessee Tech Golden Eagles,282.0,8,5,0-0,0,0.0,0.0,0-1,1,0.0,-46.4,0-1,1,0.0,-17.5,5-1,6,0.83,30.6
Rutgers Scarlet Knights,283.0,3,1,0-1,1,0.0,-37.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,-6.9
Rice Owls,284.0,8,4,1-2,3,0.33,-30.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-2,5,0.6,20.5
SE Louisiana Lions,285.0,3,1,0-2,2,0.0,-17.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,41.8
Campbell Fighting Camels,286.0,17,8,0-2,2,0.0,-29.5,0-3,3,0.0,-9.3,1-2,3,0.33,-29.1,7-2,9,0.78,19.5
IU Indianapolis Jaguars,287.0,9,3,0-1,1,0.0,-17.3,0-1,1,0.0,-12.9,0-3,3,0.0,-16.7,3-1,4,0.75,22.3
Manhattan Jaspers,288.0,12,7,0-2,2,0.0,-37.5,0-1,1,0.0,-37.3,1-1,2,0.5,-4.3,6-1,7,0.86,18.1
Long Beach State Beach,289.0,12,4,0-0,0,0.0,0.0,0-2,2,0.0,-25.8,0-3,3,0.0,-10.5,4-3,7,0.57,9.9
Maine Black Bears,290.0,10,2,0-1,1,0.0,-49.8,0-0,0,0.0,0.0,0-3,3,0.0,-11.1,2-4,6,0.33,-1.7
Northern Arizona Lumberjacks,291.0,8,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-22.8,5-2,7,0.71,19.7
Houston Christian Huskies,292.0,14,5,0-1,1,0.0,-32.7,0-1,1,0.0,-27.4,0-4,4,0.0,-17.2,5-3,8,0.62,0.4
Stonehill Skyhawks,293.0,5,3,0-0,0,0.0,0.0,0-1,1,0.0,-57.9,1-0,1,1.0,14.3,2-1,3,0.67,33.6
Eastern Washington Eagles,294.0,11,3,0-0,0,0.0,0.0,0-1,1,0.0,-37.4,0-4,4,0.0,-14.9,3-3,6,0.5,4.0
Louisiana Ragin' Cajuns,295.0,15,4,0-1,1,0.0,-67.4,0-2,2,0.0,-25.8,0-7,7,0.0,-23.1,4-1,5,0.8,8.4
San José State Spartans,296.0,8,2,0-1,1,0.0,-26.3,0-0,0,0.0,0.0,0-4,4,0.0,-11.3,2-1,3,0.67,19.9
Jacksonville Dolphins,297.0,9,4,0-2,2,0.0,-34.9,0-0,0,0.0,0.0,0-1,1,0.0,-40.7,4-2,6,0.67,34.4
Lafayette Leopards,298.0,11,3,0-3,3,0.0,-48.6,0-0,0,0.0,0.0,1-3,4,0.25,-3.6,2-2,4,0.5,9.0
Eastern Kentucky Colonels,299.0,15,4,0-4,4,0.0,-29.0,0-2,2,0.0,-17.9,1-1,2,0.5,-2.5,3-4,7,0.43,15.4
Little Rock Trojans,300.0,14,6,0-2,2,0.0,-43.4,1-0,1,1.0,4.2,0-4,4,0.0,-31.6,5-2,7,0.71,11.7
Central Michigan Chippewas,301.0,14,4,0-1,1,0.0,-64.7,0-0,0,0.0,0.0,1-2,3,0.33,-17.3,3-7,10,0.3,0.7
West Georgia Wolves,302.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,37.5
Georgia State Panthers,303.0,11,4,0-0,0,0.0,0.0,0-1,1,0.0,-25.1,0-3,3,0.0,-28.7,4-3,7,0.57,9.0
Binghamton Bearcats,304.0,17,4,0-0,0,0.0,0.0,0-1,1,0.0,-72.4,0-4,4,0.0,-24.7,4-8,12,0.33,-3.0
Northwestern State Demons,305.0,8,4,0-2,2,0.0,-30.1,0-1,1,0.0,-32.6,0-0,0,0.0,0.0,4-1,5,0.8,21.2
Holy Cross Crusaders,306.0,9,3,0-0,0,0.0,0.0,0-2,2,0.0,-8.6,0-2,2,0.0,-17.9,3-2,5,0.6,11.4
Mount St. Mary's Mountaineers,307.0,9,3,0-2,2,0.0,-51.7,0-1,1,0.0,-33.0,0-1,1,0.0,-16.2,3-2,5,0.6,4.1
Ball State Cardinals,308.0,16,4,0-2,2,0.0,-14.7,0-1,1,0.0,-11.7,0-1,1,0.0,-30.8,4-8,12,0.33,1.2
Southern Jaguars,309.0,7,4,0-1,1,0.0,-34.7,0-1,1,0.0,-6.4,0-1,1,0.0,-4.1,4-0,4,1.0,45.8
Alabama State Hornets,310.0,15,4,0-4,4,0.0,-19.5,1-1,2,0.5,-26.3,0-3,3,0.0,-43.7,3-3,6,0.5,11.7
UNC Greensboro Spartans,311.0,5,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-18.2,3-1,4,0.75,33.0
Cleveland State Vikings,312.0,18,5,0-1,1,0.0,-43.4,0-4,4,0.0,-38.4,0-0,0,0.0,0.0,5-8,13,0.38,3.4
East Carolina Pirates,313.0,13,4,0-2,2,0.0,-29.3,0-1,1,0.0,-13.6,1-2,3,0.33,-3.4,3-4,7,0.43,-13.1
UAlbany Great Danes,314.0,5,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-2,5,0.6,28.9
Pepperdine Waves,315.0,10,3,0-2,2,0.0,-17.7,0-1,1,0.0,-46.6,0-2,2,0.0,-22.4,3-2,5,0.6,10.1
UL Monroe Warhawks,316.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,26.9
Morehead State Eagles,317.0,12,7,0-1,1,0.0,-51.0,1-1,2,0.5,-5.7,0-1,1,0.0,-19.0,6-2,8,0.75,18.0
La Salle Explorers,318.0,11,3,1-1,2,0.5,-3.6,0-1,1,0.0,-42.6,1-3,4,0.25,-5.4,1-3,4,0.25,-17.0
Prairie View A&M Panthers,319.0,9,5,0-2,2,0.0,-47.4,0-0,0,0.0,0.0,0-1,1,0.0,-15.9,5-1,6,0.83,31.6
East Texas A&M Lions,320.0,15,5,0-4,4,0.0,-41.7,0-1,1,0.0,-51.7,0-1,1,0.0,-34.3,5-4,9,0.56,13.9
Fairleigh Dickinson Knights,321.0,13,4,0-2,2,0.0,-41.3,0-1,1,0.0,-35.4,0-2,2,0.0,-31.1,4-4,8,0.5,11.9
Bucknell Bison,322.0,15,5,0-2,2,0.0,-73.4,0-0,0,0.0,0.0,0-3,3,0.0,-23.9,5-5,10,0.5,-7.7
UTEP Miners,323.0,6,3,0-1,1,0.0,-38.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-2,5,0.6,14.4
Stetson Hatters,324.0,5,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-25.6,3-1,4,0.75,18.2
Oral Roberts Golden Eagles,325.0,9,3,0-1,1,0.0,-33.5,0-2,2,0.0,-18.2,0-2,2,0.0,-17.6,3-1,4,0.75,25.6
Northern Illinois Huskies,326.0,7,3,0-1,1,0.0,-19.2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-3,6,0.5,10.7
Niagara Purple Eagles,327.0,5,2,0-1,1,0.0,-40.7,0-1,1,0.0,-45.8,0-1,1,0.0,-60.1,2-0,2,1.0,20.0
Canisius Golden Griffins,328.0,15,7,0-4,4,0.0,-60.5,0-1,1,0.0,-72.7,1-3,4,0.25,-20.8,6-0,6,1.0,20.7
Evansville Purple Aces,329.0,12,4,0-1,1,0.0,-41.8,0-3,3,0.0,-24.8,1-2,3,0.33,-2.7,3-2,5,0.6,11.1
UC Riverside Highlanders,330.0,5,2,0-1,1,0.0,-52.5,0-0,0,0.0,0.0,0-1,1,0.0,-4.7,2-1,3,0.67,26.3
Morgan State Bears,331.0,9,4,0-0,0,0.0,0.0,0-1,1,0.0,-45.5,0-2,2,0.0,-4.9,4-2,6,0.67,7.1
New Haven Chargers,332.0,9,5,0-1,1,0.0,-39.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,5-3,8,0.62,6.0
Maryland Eastern Shore Hawks,333.0,9,3,0-3,3,0.0,-40.3,0-1,1,0.0,-3.9,0-1,1,0.0,-26.6,3-1,4,0.75,22.1
Sacramento State Hornets,334.0,7,3,0-0,0,0.0,0.0,0-1,1,0.0,-17.0,0-2,2,0.0,-6.1,3-1,4,0.75,16.0
Eastern Illinois Panthers,335.0,15,6,0-1,1,0.0,-5.1,0-1,1,0.0,-33.5,1-2,3,0.33,-3.9,5-5,10,0.5,-6.5
Western Carolina Catamounts,336.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-7.1,2-0,2,1.0,62.5
Arkansas-Pine Bluff Golden Lions,337.0,14,4,0-4,4,0.0,-40.3,0-2,2,0.0,-63.3,0-3,3,0.0,-27.2,4-1,5,0.8,25.5
NJIT Highlanders,338.0,6,3,0-1,1,0.0,-22.9,0-0,0,0.0,0.0,0-1,1,0.0,-26.1,3-1,4,0.75,9.8
Western Illinois Leathernecks,339.0,4,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-1,4,0.75,14.7
Delaware State Hornets,340.0,15,4,0-1,1,0.0,-96.4,0-3,3,0.0,-31.2,1-2,3,0.33,-12.1,3-5,8,0.38,-2.3
The Citadel Bulldogs,341.0,6,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-13.9,4-1,5,0.8,19.5
New Hampshire Wildcats,342.0,7,3,0-1,1,0.0,-18.3,0-0,0,0.0,0.0,0-3,3,0.0,-29.2,3-0,3,1.0,44.4
Bethune-Cookman Wildcats,343.0,13,5,0-5,5,0.0,-44.6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,5-3,8,0.62,3.7
Kansas City Roos,344.0,14,4,0-4,4,0.0,-31.4,0-2,2,0.0,-33.9,0-2,2,0.0,-18.8,4-2,6,0.67,8.8
Southern Utah Thunderbirds,345.0,10,4,0-1,1,0.0,-22.7,0-1,1,0.0,-60.2,0-2,2,0.0,-23.5,4-2,6,0.67,26.3
Bryant Bulldogs,346.0,16,5,0-4,4,0.0,-39.0,0-2,2,0.0,-25.8,0-2,2,0.0,-19.0,5-3,8,0.62,4.4
VMI Keydets,347.0,4,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,4-0,4,1.0,46.6
Florida A&M Rattlers,348.0,12,4,0-3,3,0.0,-45.7,0-2,2,0.0,-36.4,0-2,2,0.0,-27.1,4-1,5,0.8,8.4
Saint Francis Red Flash,349.0,7,3,0-1,1,0.0,-57.9,0-1,1,0.0,-40.5,1-0,1,1.0,3.0,2-2,4,0.5,17.7
Rider Broncs,350.0,6,1,0-2,2,0.0,-55.2,0-2,2,0.0,-22.0,0-0,0,0.0,0.0,1-1,2,0.5,2.9
North Carolina Central Eagles,351.0,8,4,0-1,1,0.0,-28.6,0-0,0,0.0,0.0,0-2,2,0.0,-26.9,4-1,5,0.8,22.0
UTSA Roadrunners,352.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,53.7
Air Force Falcons,353.0,16,3,0-5,5,0.0,-38.9,0-2,2,0.0,-28.0,1-4,5,0.2,-21.4,2-2,4,0.5,-2.1
Chicago State Cougars,354.0,15,2,0-5,5,0.0,-41.2,0-1,1,0.0,-33.8,0-1,1,0.0,-46.9,2-6,8,0.25,-3.5
North Florida Ospreys,355.0,9,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-12.9,2-5,7,0.29,6.0
South Carolina State Bulldogs,356.0,6,1,0-0,0,0.0,0.0,0-1,1,0.0,-30.7,0-1,1,0.0,-1.2,1-3,4,0.25,-25.2
Alcorn State Braves,357.0,13,1,0-3,3,0.0,-47.8,0-3,3,0.0,-45.9,0-3,3,0.0,-34.3,1-3,4,0.25,-28.0
Coppin State Eagles,358.0,18,3,0-2,2,0.0,-62.4,0-3,3,0.0,-72.7,0-6,6,0.0,-34.2,3-4,7,0.43,-4.9
Texas Southern Tigers,359.0,4,2,0-1,1,0.0,-49.4,0-0,0,0.0,0.0,0-1,1,0.0,-15.0,2-0,2,1.0,50.2
Jackson State Tigers,360.0,8,1,0-1,1,0.0,-82.1,0-2,2,0.0,-41.1,0-2,2,0.0,-26.5,1-2,3,0.33,-18.6
Mississippi Valley State Delta Devils,361.0,10,1,0-4,4,0.0,-58.3,0-1,1,0.0,-71.8,0-0,0,0.0,0.0,1-4,5,0.2,-2.5
